site_id,region,CELL_ID,cell_type
2575,Greater Accra Region,130-25751,2.00
2575,Greater Accra Region,130-25752,2.00
2575,Greater Accra Region,130-25753,2.00
2575,Greater Accra Region,130-25754,2.00
2575,Greater Accra Region,130-25755,2.00
2575,Greater Accra Region,130-25756,2.00
108,Greater Accra Region,132-1081,2.00
108,Greater Accra Region,132-1082,2.00
108,Greater Accra Region,132-1083,2.00
2230,Greater Accra Region,134-22301,2.00
2230,Greater Accra Region,134-22302,2.00
2230,Greater Accra Region,134-22303,2.00
2230,Greater Accra Region,134-22304,2.00
2230,Greater Accra Region,134-22305,2.00
2230,Greater Accra Region,134-22306,2.00
1107,Greater Accra Region,140-11071,2.00
1107,Greater Accra Region,140-11072,2.00
1107,Greater Accra Region,140-11073,2.00
1107,Greater Accra Region,140-11074,2.00
1107,Greater Accra Region,140-11075,2.00
1107,Greater Accra Region,140-11076,2.00
1508,Greater Accra Region,140-15081,2.00
1508,Greater Accra Region,140-15082,2.00
1508,Greater Accra Region,140-15083,2.00
1508,Greater Accra Region,140-15084,2.00
1508,Greater Accra Region,140-15085,2.00
1508,Greater Accra Region,140-15086,2.00
1522,Greater Accra Region,140-15221,2.00
1522,Greater Accra Region,140-15222,2.00
1522,Greater Accra Region,140-15223,2.00
1522,Greater Accra Region,140-15224,2.00
1522,Greater Accra Region,140-15225,2.00
1522,Greater Accra Region,140-15226,2.00
1523,Greater Accra Region,140-15231,2.00
1523,Greater Accra Region,140-15232,2.00
1523,Greater Accra Region,140-15233,2.00
1523,Greater Accra Region,140-15234,2.00
1523,Greater Accra Region,140-15235,2.00
1523,Greater Accra Region,140-15236,2.00
1525,Greater Accra Region,140-15251,2.00
1525,Greater Accra Region,140-15252,2.00
1525,Greater Accra Region,140-15253,2.00
1525,Greater Accra Region,140-15254,2.00
1525,Greater Accra Region,140-15255,2.00
1525,Greater Accra Region,140-15256,2.00
1549,Greater Accra Region,140-15491,2.00
1549,Greater Accra Region,140-15492,2.00
1549,Greater Accra Region,140-15493,2.00
1549,Greater Accra Region,140-15494,2.00
1549,Greater Accra Region,140-15495,2.00
1549,Greater Accra Region,140-15496,2.00
2115,Greater Accra Region,140-21151,2.00
2115,Greater Accra Region,140-21152,2.00
2115,Greater Accra Region,140-21153,2.00
2115,Greater Accra Region,140-21154,2.00
2115,Greater Accra Region,140-21155,2.00
2115,Greater Accra Region,140-21156,2.00
2200,Greater Accra Region,140-22001,2.00
2200,Greater Accra Region,140-22002,2.00
2200,Greater Accra Region,140-22003,2.00
2200,Greater Accra Region,140-22004,2.00
2200,Greater Accra Region,140-22005,2.00
2200,Greater Accra Region,140-22006,2.00
251,Greater Accra Region,140-2511,2.00
251,Greater Accra Region,140-2512,2.00
251,Greater Accra Region,140-2513,2.00
538,Greater Accra Region,140-5381,2.00
538,Greater Accra Region,140-5382,2.00
538,Greater Accra Region,140-5383,2.00
538,Greater Accra Region,140-5384,2.00
538,Greater Accra Region,140-5385,2.00
538,Greater Accra Region,140-5386,2.00
543,Greater Accra Region,140-5431,2.00
543,Greater Accra Region,140-5432,2.00
543,Greater Accra Region,140-5433,2.00
543,Greater Accra Region,140-5434,2.00
543,Greater Accra Region,140-5435,2.00
543,Greater Accra Region,140-5436,2.00
549,Greater Accra Region,140-5491,2.00
